timestamp,value
1,57
2,43
3,55
4,64
5,93
6,104
7,89
8,87
9,57
10,68
11,64
12,61
13,73
14,79
15,80
16,76
17,49
18,59
19,55
20,48
21,41
22,49
23,63
24,36
25,42
26,50
27,35
28,41
29,39
30,48
31,31
32,35
33,32
34,36
35,37
36,62
37,41
38,51
39,65
40,39
41,56
42,42
43,62
44,46
45,46
46,62
47,41
48,40
49,47
50,48
51,43
52,41
53,55
54,90
55,79
56,57
57,43
58,39
59,57
60,56
61,102
62,85
63,79
64,82
65,60
66,47
67,43
68,49
69,60
70,55
71,63
72,57
73,61
74,59
75,35
76,69
77,48
78,47
79,44
80,47
81,51
82,54
83,41
84,53
85,49
86,23
87,31
88,38
89,57
90,56
91,70
92,57
93,64
94,79
95,65
96,70
97,51
98,43
99,60
100,49
101,37
102,54
103,58
104,67
105,72
106,49
107,45
108,48
109,29
110,23
111,26
112,28
113,27
114,18
115,37
116,35
117,25
118,28
119,27
120,35
121,41
122,34
123,42
124,58
125,59
126,27
127,49
128,52
129,25
130,36
131,31
132,23
133,24
134,10
135,27
136,32
137,17
138,33
139,40
140,25
141,16
142,24
143,37
144,34
145,60
146,57
147,62
148,56
149,68
150,54
151,49
152,42
153,39
154,50
155,47
156,30
157,40
158,45
159,37
160,58
161,35
162,46
163,37
164,35
165,50
166,27
167,54
168,51
169,41
170,50
171,90
172,55
173,57
174,57
175,71
176,35
177,28
178,32
179,32
180,60
181,32
182,47
183,38
184,46
185,54
186,56
187,63
188,67
189,68
190,61
191,44
192,57
193,61
194,55
195,66
196,87
197,68
198,73
199,66
200,73
201,100
202,105
203,90
204,66
205,64
206,58
207,70
208,74
209,48
210,59
211,69
212,67
213,40
214,47
215,42
216,153
217,67
218,73
219,58
220,97
221,99
222,65
223,82
224,66
225,44
226,65
227,75
228,50
229,62
230,57
231,102
232,80
233,84
234,104
235,76
236,71
237,49
238,103
239,134
240,106
241,127
242,93
243,84
244,56
245,61
246,57
247,45
248,54
249,64
250,74
251,56
252,73
253,84
254,57
255,63
256,70
257,74
258,57
259,62
260,69
261,61
262,66
263,65
264,55
265,54
266,55
267,53
268,67
269,70
270,76
271,67
272,110
273,41
274,64
275,61
276,39
277,61
278,73
279,62
280,67
281,51
282,81
283,87
284,52
285,62
286,108
287,76
288,57
289,68
290,59
291,68
292,54
293,56
294,56
295,75
296,69
297,51
298,58
299,60
300,81
301,65
302,70
303,64
304,53
305,65
306,65
307,66
308,48
309,46
310,50
311,43
312,45
313,49
314,49
315,50
316,57
317,39
318,35
319,63
320,62
321,66
322,52
323,48
324,66
325,58
326,41
327,36
328,40
329,72
330,72
331,64
332,73
333,69
334,78
335,58
336,77
337,133
338,88
339,87
340,88
341,78
342,80
343,72
344,89
345,62
346,91
347,100
348,60
349,54
350,83
351,45
352,58
353,70
354,60
355,41
356,60
357,57
358,61
359,66
360,59
361,64
362,80
363,92
364,95
365,101
366,99
367,68
368,64
369,90
370,74
371,48
372,48
373,63
374,47
375,43
376,51
377,63
378,71
379,84
380,34
381,41
382,51
383,44
384,58
385,68
386,57
387,55
388,65
389,51
390,49
391,59
392,44
393,58
394,45
395,52
396,50
397,63
398,45
399,54
400,68
401,45
402,40
403,54
404,33
405,38
406,33
407,52
408,36
409,36
410,35
411,30
412,25
413,24
414,27
415,21
416,45
417,27
418,31
419,35
420,58
421,60
422,37
423,30
424,36
425,39
426,26
427,38
428,31
429,58
430,56
431,64
432,44
433,58
434,63
435,58
436,47
437,47
438,47
439,36
440,31
441,30
442,21
443,23
444,43
445,43
446,53
447,54
448,45
449,37
450,35
451,43
452,43
453,43
454,40
455,28
456,25
457,31
458,23
459,31
460,31
461,36
462,46
463,47
464,32
465,39
466,42
467,46
468,40
469,60
470,70
471,71
472,69
473,56
474,70
475,88
476,50
477,53
478,43
479,53
480,43
481,59
482,50
483,41
484,40
485,43
486,76
487,62
488,61
489,44
490,49
491,68
492,49
493,79
494,71
495,52
496,47
497,41
498,62
499,63
500,85
501,103
502,70
503,69
504,85
505,66
506,75
507,84
508,92
509,70
510,62
511,66
512,53
513,60
514,66
515,57
516,51
517,50
518,55
519,54
520,76
521,69
522,61
523,73
524,72
525,56
526,68
527,58
528,96
529,64
530,67
531,54
532,76
533,58
534,50
535,53
536,59
537,64
538,59
539,38
540,41
541,56
542,60
543,65
544,67
545,52
546,68
547,72
548,48
549,53
550,47
551,43
552,70
553,50
554,62
555,70
556,62
557,70
558,47
559,53
560,42
561,46
562,39
563,36
564,29
565,56
566,52
567,36
568,38
569,42
570,43
571,50
572,41
573,41
574,45
575,29
576,38
577,37
